"V1","V2"
"IKZF1","CHD4"
"IKZF1","RBBP4"
"IKZF1","HDAC1"
"IKZF1","MTA1"
"IKZF1","HDAC2"
"IKZF1","GATAD2A"
"IKZF1","RBBP7"
"MBD3","HDAC2"
"MTA1","MBD3"
"MTA1","GATAD2B"
"MTA1","HDAC2"
"MTA1","RBBP4"
"MTA1","GATAD2A"
"MTA1","CHD4"
"MTA1","HDAC1"
"MTA1","RBBP7"
"GATAD2B","MBD3"
"GATAD2B","HDAC2"
"GATAD2B","HDAC1"
"GATAD2B","RBBP4"
"GATAD2B","RBBP7"
"RBBP7","MBD3"
"RBBP7","HDAC2"
"MTA2","RBBP7"
"MTA2","CHD4"
"MTA2","RBBP4"
"MTA2","GATAD2A"
"MTA2","HDAC1"
"MTA2","MTA1"
"MTA2","HDAC2"
"MTA2","GATAD2B"
"MTA2","MBD3"
"GATAD2A","RBBP7"
"GATAD2A","HDAC1"
"GATAD2A","RBBP4"
"GATAD2A","GATAD2B"
"GATAD2A","HDAC2"
"GATAD2A","MBD3"
"RBBP4","MBD3"
"RBBP4","RBBP7"
"RBBP4","HDAC2"
"RBBP4","HDAC1"
"HDAC1","HDAC2"
"HDAC1","MBD3"
"HDAC1","RBBP7"
"CHD4","RBBP7"
"CHD4","GATAD2A"
"CHD4","MBD3"
"CHD4","RBBP4"
"CHD4","HDAC1"
"CHD4","HDAC2"
"CHD4","GATAD2B"
"DSN1","HIST2H3PS2"
"HIST1H3J","HIST2H3PS2"
"HIST1H3J","ATRX"
"HIST1H3J","HIST1H3A"
"HIST1H3J","HIST3H3"
"DNMT3B","HIST1H3A"
"DNMT3B","HIST3H3"
"DNMT3B","HIST1H3J"
"DNMT3B","HIST2H3PS2"
"DNMT3B","SUV39H1"
"NSL1","DSN1"
"HIST3H3","HIST1H3A"
"HIST3H3","ATRX"
"HIST3H3","HIST2H3PS2"
"ATRX","HIST2H3PS2"
"ATRX","HIST1H3A"
"TRIM28","DNMT3B"
"TRIM28","ATRX"
"TRIM28","HIST2H3PS2"
"TRIM28","SUV39H1"
"SUV39H1","HIST2H3PS2"
"SUV39H1","ATRX"
"SUV39H1","HIST1H3A"
"SUV39H1","HIST3H3"
"SUV39H1","HIST1H3J"
"HIST2H3PS2","HIST1H3A"
"CBX5","TRIM28"
"CBX5","HIST3H3"
"CBX5","HIST1H3J"
"CBX5","HIST1H3A"
"CBX5","DSN1"
"CBX5","NSL1"
"CBX5","DNMT3B"
"CBX5","ATRX"
"CBX5","SUV39H1"
"CBX5","HIST2H3PS2"
"HIST3H3","EHMT2"
"HIST3H3","KDM1A"
"L3MBTL2","E2F6"
"L3MBTL2","CBX3"
"L3MBTL2","EHMT2"
"L3MBTL2","SUV39H1"
"L3MBTL2","PCGF6"
"KDM1A","HIST2H3PS2"
"HIST1H1E","EHMT2"
"HIST1H1E","CBX3"
"HIST1H1E","HIST2H3PS2"
"HIST1H1E","HIST3H3"
"PCGF6","EHMT2"
"PCGF6","E2F6"
"SUV39H1","KDM1A"
"SUV39H1","E2F6"
"SUV39H1","EHMT2"
"E2F6","HIST2H3PS2"
"TINF2","HIST3H3"
"TINF2","CBX3"
"EHMT2","E2F6"
"EHMT2","HIST2H3PS2"
"EHMT2","KDM1A"
"CBX3","PCGF6"
"CBX3","HIST3H3"
"CBX3","HIST2H3PS2"
"CBX3","SUV39H1"
"CBX3","KDM1A"
"CBX3","E2F6"
"CBX3","EHMT2"
"RAD52","ATRX"
"RAD52","RAD51"
"RAD52","HIST2H3PS2"
"HIST2H3D","HIST2H3PS2"
"HIST2H3D","H3F3A"
"HIST2H3D","ATRX"
"HIST2H3D","MECP2"
"HIST2H3D","DAXX"
"CBX5","DAXX"
"CBX5","H3F3B"
"CBX5","MECP2"
"CBX5","H3F3A"
"CBX5","HIST2H3D"
"MUS81","ATRX"
"MUS81","RAD51"
"MUS81","RAD52"
"H3F3A","ATRX"
"H3F3A","HIST2H3PS2"
"H3F3A","DAXX"
"MECP2","HIST2H3PS2"
"RAD51","HIST2H3PS2"
"H3F3B","DAXX"
"H3F3B","HIST2H3D"
"H3F3B","HIST2H3PS2"
"H3F3B","H3F3A"
"H3F3B","ATRX"
"DAXX","MECP2"
"DAXX","HIST2H3PS2"
"ATRX","MECP2"
"ATRX","RAD51"
"ATRX","DAXX"
"MAP1LC3B","ADNP"
"POGZ","ADNP"
"POGZ","CHD8"
"POGZ","SMARCA4"
"ZBTB14","ADNP"
"ARID1A","ADNP"
"ARID1A","SMARCA4"
"ARID1A","CHD4"
"ARID1A","CHD8"
"MAPRE3","ADNP"
"BPTF","ADNP"
"BPTF","CHD8"
"BPTF","ARID1A"
"BPTF","SMARCA4"
"BPTF","CHD4"
"CHD8","SMARCA4"
"CBX5","SMARCA4"
"CBX5","CHD4"
"CBX5","POGZ"
"CBX5","ADNP"
"CBX5","ZBTB14"
"CBX5","BPTF"
"CHD4","SMARCA4"
"CHD4","CHD8"
"CHD4","ADNP"
"ADNP","CHD8"
"ADNP","SMARCA4"
